x,y,line,cp,algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
16.208769, -24.475002, 0,start, 0, 40, 0, 0,G,Y,R,G,W,G,Y,G,R,B,W,B,O,G,W,G,B,R,W,R,W,O,R,R,W,B,B,B,B,R,G,O,Y,O,Y,O,Y,R,Y,R,Y,W,W,W,O,O,O,G,O,B,Y,Y,B,G
15.981473, -24.342278, 0,state, 0, 41, 1, 1,G,Y,R,G,W,G,W,B,B,B,W,R,W,G,B,B,O,G,W,R,W,O,R,R,Y,R,Y,B,B,R,G,O,Y,Y,G,R,O,Y,O,R,Y,W,W,W,O,O,O,G,O,B,Y,Y,B,G
15.79871, -24.238604, 0,state, 0, 41, 2, 2,G,Y,R,G,W,G,W,B,B,B,W,R,W,G,B,Y,R,W,W,R,O,O,R,O,Y,R,G,B,B,R,O,O,Y,G,G,R,O,W,O,Y,Y,W,O,R,W,Y,G,B,O,B,Y,Y,B,G
5.523793, -17.173965, 0,state, 0, 37, 3, 3,B,B,W,G,W,G,R,Y,G,G,B,Y,W,G,B,Y,R,W,R,R,O,Y,R,O,R,R,G,B,B,Y,O,O,O,G,G,W,O,W,O,Y,Y,W,O,R,W,Y,G,B,O,B,Y,R,W,B
5.5660686, -16.961958, 0,state, 0, 37, 4, 4,B,B,W,G,W,G,O,W,O,W,R,Y,B,G,W,Y,B,G,R,R,O,Y,R,O,G,G,W,B,B,Y,O,O,O,R,R,G,G,Y,R,Y,Y,W,O,R,W,Y,G,B,O,B,Y,R,W,B
5.665106, -16.805298, 0,state, 0, 39, 5, 5,B,B,W,G,W,G,O,W,O,W,R,Y,B,G,W,W,O,O,R,R,Y,Y,R,G,G,G,B,Y,B,Y,B,O,O,G,R,G,R,W,W,Y,Y,R,G,Y,O,R,O,B,O,B,Y,R,W,B
-20.91307, -1.754105, 0,state, 0, 40, 6, 6,O,G,B,W,W,B,O,G,W,G,Y,R,B,G,W,W,O,O,R,R,Y,W,R,G,B,G,B,Y,B,W,B,O,R,G,R,Y,R,W,W,Y,Y,R,G,Y,O,R,O,B,O,B,Y,G,O,Y
-20.556652, -2.2728617, 0,state, 0, 41, 7, 7,O,G,B,W,W,B,G,R,Y,W,B,G,O,G,Y,O,W,R,R,R,Y,W,R,G,O,G,W,Y,B,W,B,O,R,W,W,R,B,G,B,Y,Y,R,G,Y,O,R,O,B,O,B,Y,G,O,Y
-20.337702, -2.5620039, 0,state, 0, 39, 8, 8,O,G,G,W,W,Y,G,R,R,W,B,B,O,G,R,O,W,O,O,W,R,G,R,R,W,G,Y,Y,B,W,B,O,R,W,W,R,B,G,B,Y,Y,Y,G,Y,Y,R,O,B,O,B,B,G,O,Y
-19.981182, -2.3540158, 0,state, 0, 38, 9, 9,G,W,O,R,W,G,R,Y,G,W,G,O,O,G,R,O,W,O,G,W,R,O,R,R,Y,G,Y,Y,B,W,B,O,B,W,W,B,B,G,B,Y,Y,Y,G,Y,Y,R,O,B,O,B,B,R,R,W
