x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
19.650492, -26.697172, 0, start, beginner,R,O,B,W,W,B,R,G,Y,Y,O,B,R,G,Y,O,Y,Y,O,G,G,Y,R,G,R,G,B,R,R,W,B,O,O,Y,B,G,G,R,O,O,Y,W,G,W,W,W,B,O,W,B,R,B,Y,W
19.679157, -26.675306, 0, intermediate, beginner,R,O,B,W,W,B,R,G,B,B,Y,Y,O,G,Y,Y,R,O,O,G,G,Y,R,G,O,R,G,R,R,W,B,O,O,R,G,Y,G,B,Y,O,Y,W,G,W,W,W,B,O,W,B,R,B,Y,W
19.71445, -26.640882, 0, intermediate, beginner,R,O,Y,W,W,Y,R,G,O,B,Y,Y,O,G,W,Y,R,W,O,Y,O,R,R,G,G,G,G,R,R,W,B,O,O,R,G,Y,G,B,O,O,Y,R,G,W,W,W,B,B,W,B,B,B,Y,B
19.561462, -26.67902, 0, intermediate, beginner,R,W,R,G,W,O,O,Y,Y,G,R,O,O,G,W,Y,R,W,B,Y,O,Y,R,G,B,G,G,R,R,B,B,O,Y,R,G,Y,G,B,O,O,Y,R,G,W,W,W,B,B,W,B,B,Y,O,W
19.48236, -26.754637, 0, intermediate, beginner,R,W,B,G,W,B,O,Y,W,G,R,R,O,G,O,Y,R,Y,O,G,G,Y,R,G,B,Y,B,R,R,B,B,O,Y,R,G,Y,G,B,O,O,Y,W,G,W,W,W,B,O,W,B,R,Y,O,W
19.297178, -26.870737, 0, intermediate, beginner,R,W,B,G,W,B,O,B,G,Y,R,Y,O,G,O,R,R,G,O,G,G,Y,R,G,R,G,Y,R,R,B,B,O,Y,B,Y,B,W,Y,O,O,Y,W,G,W,W,W,B,O,W,B,R,Y,O,W
18.96482, -27.09904, 0, intermediate, beginner,R,W,B,G,W,B,O,B,G,Y,R,Y,O,G,O,Y,G,G,O,G,W,Y,R,B,R,G,O,R,R,B,R,O,Y,G,Y,B,O,W,W,Y,Y,W,W,O,G,B,B,R,W,B,R,Y,O,W
18.648216, -27.335918, 0, intermediate, beginner,R,W,B,G,W,B,R,G,O,Y,O,G,R,G,G,Y,O,Y,O,G,W,Y,R,B,W,W,O,R,R,B,R,O,Y,O,B,G,B,Y,G,Y,Y,W,W,O,G,B,B,R,W,B,R,Y,O,W
18.353958, -27.568867, 0, intermediate, beginner,R,W,B,G,W,B,R,G,O,Y,O,G,R,G,G,O,B,W,O,G,B,Y,R,B,W,W,R,Y,R,B,O,O,Y,Y,B,G,G,W,G,Y,Y,O,B,Y,W,O,R,R,W,B,R,Y,O,W
17.987576, -27.946672, 0, intermediate, beginner,R,G,R,G,W,W,O,B,B,W,Y,O,R,G,G,O,B,W,Y,G,B,O,R,B,W,W,R,Y,R,Y,O,O,O,Y,B,G,G,W,G,Y,Y,O,B,Y,W,O,R,R,W,B,R,G,Y,B
17.736689, -28.233385, 0, intermediate, beginner,R,G,R,G,W,W,Y,B,G,O,R,W,B,G,Y,W,G,O,Y,G,B,O,R,B,O,B,B,Y,R,Y,O,O,O,G,W,G,R,W,W,Y,Y,O,B,Y,W,O,R,R,W,B,R,G,Y,B
17.666412, -28.339693, 0, intermediate, beginner,R,G,W,G,W,Y,Y,B,O,O,R,W,B,G,O,W,G,W,O,O,Y,B,R,G,B,B,B,Y,R,Y,O,O,O,G,W,G,R,W,R,Y,Y,R,B,Y,B,O,R,R,W,B,W,G,Y,G
17.61208, -28.365646, 0, intermediate, beginner,Y,G,R,B,W,G,O,Y,W,B,B,O,B,G,O,W,G,W,G,O,Y,Y,R,G,G,B,B,Y,R,O,O,O,R,G,W,W,R,W,R,Y,Y,R,B,Y,B,O,R,R,W,B,W,G,O,Y
17.6406, -28.296385, 0, intermediate, beginner,Y,G,R,B,W,W,O,Y,Y,B,B,R,B,G,G,W,G,W,Y,G,B,O,R,B,G,Y,G,Y,R,O,O,O,R,G,W,W,R,W,O,Y,Y,O,B,Y,W,O,R,R,W,B,R,G,O,B
17.61289, -28.25163, 0, intermediate, beginner,Y,G,R,B,W,W,O,W,R,W,G,W,G,G,B,R,B,B,Y,G,B,O,R,B,G,W,W,Y,R,O,O,O,R,G,Y,G,Y,Y,O,Y,Y,O,B,Y,W,O,R,R,W,B,R,G,O,B
-5.240392, -25.274117, 0, intermediate, beginner,Y,G,R,B,W,W,O,W,R,W,G,W,G,G,B,W,B,B,Y,G,O,O,R,R,G,W,R,R,R,O,B,O,R,B,Y,G,O,O,W,Y,Y,Y,Y,Y,B,G,O,Y,W,B,R,G,O,B
-5.3568006, -25.180182, 0, intermediate, beginner,Y,G,R,B,W,W,G,W,R,W,B,B,G,G,B,W,G,W,Y,G,O,O,R,R,W,O,O,R,R,O,B,O,R,O,W,R,G,Y,B,Y,Y,Y,Y,Y,B,G,O,Y,W,B,R,G,O,B
-30.59161, -34.543865, 0, intermediate, beginner,B,Y,Y,B,W,W,G,W,R,W,B,B,G,G,B,W,G,W,R,R,O,O,R,R,W,O,O,Y,G,O,B,O,R,O,W,R,G,Y,B,Y,Y,Y,R,G,Y,B,O,G,R,B,W,Y,O,G
-30.553123, -34.56565, 0, intermediate, beginner,Y,W,R,Y,W,W,B,B,G,O,R,R,G,G,B,W,G,W,B,R,O,B,R,R,W,O,O,Y,G,G,B,O,O,O,W,Y,G,Y,B,Y,Y,Y,R,G,Y,B,O,G,R,B,W,R,O,W
-30.553772, -34.56101, 0, intermediate, beginner,G,W,R,Y,W,W,R,B,G,B,R,R,R,G,B,R,G,W,B,R,O,B,R,R,W,O,O,Y,W,O,O,O,B,G,G,Y,Y,Y,B,Y,Y,Y,B,G,Y,O,O,G,G,B,W,W,O,W
-30.592463, -34.53503, 0, intermediate, beginner,R,Y,G,B,W,W,G,W,R,W,B,B,R,G,B,R,G,W,W,R,O,O,R,R,W,O,O,Y,W,B,O,O,R,G,G,R,Y,Y,B,Y,Y,Y,B,G,Y,O,O,G,G,B,W,Y,B,O
-5.709711, -24.74861, 0, checkpoint, beginner,Y,G,B,B,W,W,G,W,R,W,B,B,R,G,B,R,G,W,Y,W,B,O,R,R,W,O,O,W,R,O,O,O,R,G,G,R,Y,Y,B,Y,Y,Y,G,Y,R,O,B,Y,W,B,G,G,O,O
-5.962437, -24.666216, 0, intermediate, beginner,W,G,B,R,W,W,R,W,R,Y,B,B,Y,G,B,G,G,W,Y,W,B,O,R,R,W,O,O,O,R,R,R,O,G,W,O,G,O,Y,B,W,Y,Y,G,Y,R,Y,B,Y,B,B,G,G,O,O
-5.966119, -24.584913, 0, intermediate, beginner,B,W,R,G,W,W,W,R,R,R,G,G,Y,G,B,G,G,W,B,W,B,B,R,R,Y,O,O,O,R,O,R,O,O,W,O,G,O,Y,B,W,Y,Y,G,Y,R,Y,B,Y,B,B,G,Y,O,W
-5.7457495, -24.483688, 0, intermediate, beginner,Y,W,R,B,W,W,Y,R,R,B,G,G,G,G,B,W,G,W,B,W,B,B,R,R,Y,O,O,W,R,O,O,O,R,G,O,O,R,Y,B,Y,Y,Y,G,Y,R,O,B,Y,W,B,G,G,O,W
-5.6593385, -24.317936, 0, intermediate, beginner,Y,W,R,B,W,W,G,O,O,W,G,B,G,G,G,W,B,G,B,W,B,B,R,R,Y,R,R,W,R,O,O,O,R,B,Y,R,O,O,Y,Y,Y,Y,G,Y,R,O,B,Y,W,B,G,G,O,W
