x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22,multiplicity,age,groupLabel,clusterProbability
-47.041862,8.193916, 0, start, beginner,B,Y,G,O,W,O,B,O,R,Y,Y,G,R,G,R,W,R,G,W,R,O,B,R,G,Y,G,Y,R,W,W,G,O,W,R,W,R,B,Y,O,O,Y,Y,G,B,B,W,W,Y,G,B,B,O,B,O,1,0,-1,1
-47.019497,8.165698, 0, intermediate, beginner,B,Y,G,O,W,O,B,O,R,Y,Y,G,R,G,R,Y,W,W,W,R,R,B,R,G,Y,G,R,Y,W,W,G,O,W,O,W,R,B,B,G,Y,Y,O,O,Y,B,G,R,W,G,B,B,O,B,O,1,0.010869565217391304,-1,1
-30.062548,-11.08234, 0, intermediate, beginner,B,Y,G,O,W,O,O,W,R,Y,R,Y,W,G,Y,W,R,G,W,R,R,B,R,G,B,O,R,Y,W,W,G,O,W,G,B,B,R,G,Y,Y,Y,O,O,Y,B,G,R,W,G,B,B,O,B,O,1,0.021739130434782608,-1,1
-29.380354,-11.169156, 0, intermediate, beginner,B,Y,Y,O,W,Y,O,W,G,Y,R,Y,W,G,O,W,R,B,B,B,W,O,R,R,R,G,R,Y,W,W,G,O,W,G,B,B,R,G,W,Y,Y,B,O,Y,O,G,R,G,G,B,O,O,B,R,1,0.03260869565217391,-1,1
-29.251366,-12.008915, 0, intermediate, beginner,O,O,B,W,W,Y,G,Y,Y,R,O,B,W,G,O,W,R,B,O,B,W,B,R,R,R,G,R,Y,W,Y,G,O,R,G,B,Y,R,G,W,Y,Y,B,O,Y,O,G,R,G,G,B,O,B,W,W,1,0.043478260869565216,-1,1
-30.148148,-12.281722, 0, intermediate, beginner,O,O,G,W,W,O,G,Y,W,R,O,B,W,G,Y,W,R,Y,W,R,R,B,R,G,O,B,R,Y,W,Y,G,O,R,G,B,Y,R,G,B,Y,Y,O,O,Y,B,G,R,W,G,B,B,B,W,O,1,0.05434782608695652,-1,1
-30.954487,-13.078196, 0, intermediate, beginner,O,O,G,W,W,O,B,G,R,Y,R,W,Y,G,W,B,O,R,W,R,R,B,R,G,G,B,Y,Y,W,Y,G,O,R,O,B,R,W,Y,G,Y,Y,O,O,Y,B,G,R,W,G,B,B,B,W,O,1,0.06521739130434782,-1,1
-30.589165,-13.573177, 0, intermediate, beginner,O,O,G,W,W,O,B,G,R,Y,R,W,Y,G,W,Y,G,R,W,R,G,B,R,R,G,B,W,B,W,Y,O,O,R,R,B,R,G,O,B,Y,Y,Y,W,Y,O,O,G,Y,G,B,B,B,W,O,1,0.07608695652173914,-1,1
-29.554636,-13.419597, 0, intermediate, beginner,O,O,G,W,W,O,B,O,G,R,G,Y,W,G,Y,W,R,Y,W,R,G,B,R,R,R,B,R,B,W,Y,O,O,R,G,B,W,R,G,B,Y,Y,Y,W,Y,O,O,G,Y,G,B,B,B,W,O,1,0.08695652173913043,-1,1
-28.91141,-13.103544, 0, intermediate, beginner,O,O,Y,W,W,Y,B,O,Y,R,G,B,W,G,Y,W,R,O,R,B,W,B,R,R,R,R,G,B,W,Y,O,O,R,G,B,W,R,G,Y,Y,Y,B,W,Y,O,O,G,G,G,B,O,B,W,G,1,0.09782608695652174,-1,1
-27.76995,-13.745218, 0, intermediate, beginner,B,W,O,O,W,O,Y,Y,Y,R,B,R,W,G,Y,W,R,O,B,B,W,W,R,R,G,R,G,B,W,R,O,O,G,G,B,B,R,G,Y,Y,Y,B,W,Y,O,O,G,G,G,B,O,W,R,Y,1,0.10869565217391304,-1,1
-27.607857,-14.213831, 0, intermediate, beginner,B,W,G,O,W,O,Y,Y,Y,R,B,O,W,G,O,W,R,Y,W,R,G,B,R,R,B,W,G,B,W,R,O,O,G,G,B,B,R,G,R,Y,Y,Y,W,Y,O,O,G,Y,G,B,B,W,R,O,1,0.11956521739130435,-1,1
-27.770275,-15.335336, 0, intermediate, beginner,Y,Y,Y,O,W,O,G,W,B,O,R,W,W,G,O,W,R,Y,B,R,G,G,R,R,R,W,G,B,W,B,O,O,B,G,B,W,R,G,R,Y,Y,Y,W,Y,O,O,G,Y,G,B,B,O,B,R,1,0.13043478260869565,-1,1
-27.237059,-15.534844, 0, intermediate, beginner,O,Y,W,O,W,O,G,W,B,O,R,W,W,G,O,W,R,Y,B,W,B,G,R,R,R,W,G,B,R,G,O,O,B,G,B,W,R,G,R,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,Y,G,O,1,0.14130434782608695,-1,1
-26.869167,-14.991856, 0, intermediate, beginner,B,W,G,O,W,O,W,Y,O,O,G,Y,W,G,O,W,R,Y,W,W,B,B,R,R,G,W,G,B,R,R,O,O,G,G,B,B,R,G,R,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,W,R,O,1,0.15217391304347827,-1,1
-1.1092566,-5.8624372, 0, checkpoint, beginner,B,W,G,O,W,O,R,G,R,Y,R,W,O,G,W,Y,G,O,W,W,B,B,R,R,G,B,B,B,R,R,O,O,G,G,W,G,O,Y,W,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,W,R,O,1,0.16304347826086957,-1,1
-0.8384799,-6.155722, 0, intermediate, beginner,R,G,R,O,W,O,G,W,B,O,R,W,O,G,W,Y,G,O,G,W,B,G,R,R,R,B,B,B,R,G,O,O,B,G,W,W,O,Y,W,Y,Y,Y,Y,Y,Y,R,B,O,B,B,G,W,R,Y,1,0.17391304347826086,-1,1
0.68038213,-7.613487, 0, intermediate, beginner,R,G,W,O,W,W,G,W,O,O,R,W,O,G,Y,Y,G,Y,R,G,G,B,R,W,B,R,B,B,R,G,O,O,B,G,W,W,O,Y,O,Y,Y,G,Y,Y,Y,R,B,R,B,B,O,W,R,B,1,0.18478260869565216,-1,1
