x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-2.9285312, 55.502316, 0,start, 0, 36, 0, 0,B,W,Y,O,W,Y,B,R,O,W,W,Y,G,G,Y,R,O,W,B,R,B,R,R,G,G,O,R,O,Y,O,O,O,W,G,R,O,Y,B,G,G,Y,W,W,B,W,G,Y,R,G,B,B,Y,B,R
-3.2839587, 57.93932, 0,state, 0, 35, 1, 1,B,W,Y,O,W,Y,B,R,W,W,W,G,G,G,W,R,O,W,G,R,B,O,R,R,R,G,B,O,Y,O,O,O,W,G,R,O,Y,B,R,G,Y,B,W,B,R,G,Y,Y,G,B,Y,Y,B,O
-0.6973186, 58.53758, 0,state, 0, 39, 2, 2,B,O,B,R,W,W,W,Y,Y,R,O,G,G,G,W,R,O,W,Y,R,B,B,R,R,O,G,B,O,Y,W,O,O,W,G,R,G,Y,B,R,G,Y,B,W,B,R,G,Y,Y,G,B,Y,O,W,O
-0.33950374, 55.771202, 0,state, 0, 40, 3, 3,B,O,Y,R,W,Y,W,Y,O,R,O,B,G,G,W,R,O,Y,B,R,B,R,R,G,Y,B,O,O,Y,W,O,O,W,G,R,G,Y,B,G,G,Y,W,W,B,W,G,Y,R,G,B,B,O,W,R
1.3833796, 53.42894, 0,state, 0, 39, 4, 4,B,O,Y,R,W,Y,G,B,Y,Y,O,R,W,G,G,B,O,R,B,R,B,R,R,G,G,R,G,O,Y,W,O,O,W,Y,B,O,O,Y,W,G,Y,W,W,B,W,G,Y,R,G,B,B,O,W,R
2.0372484, 50.47371, 0,state, 0, 37, 5, 5,B,O,Y,R,W,Y,G,B,Y,Y,O,R,W,G,G,G,G,B,B,R,G,R,R,Y,G,R,R,B,Y,W,O,O,W,R,B,O,W,W,W,Y,Y,B,O,G,W,Y,O,O,G,B,B,O,W,R
0.4656437, 47.492798, 0,state, 0, 36, 6, 6,G,R,B,B,W,O,Y,Y,Y,G,R,B,W,G,G,G,G,B,O,R,G,W,R,Y,R,R,R,B,Y,Y,O,O,O,R,B,R,W,W,W,Y,Y,B,O,G,W,Y,O,O,G,B,B,O,W,W
-1.7131953, 45.662556, 0,state, 0, 31, 7, 7,G,R,B,B,W,O,W,W,W,B,G,G,G,G,W,B,R,G,O,R,G,W,R,Y,R,B,R,B,Y,Y,O,O,O,R,R,R,Y,Y,Y,Y,Y,B,O,G,W,Y,O,O,G,B,B,O,W,W
-3.1578264, 43.439766, 0,state, 0, 32, 8, 8,G,R,B,B,W,O,W,W,W,B,G,G,G,G,W,R,Y,G,O,R,Y,W,R,O,R,B,O,B,Y,Y,R,O,O,G,R,R,Y,B,W,Y,Y,G,Y,Y,O,R,O,B,G,B,B,O,W,W
-5.056434, 41.485863, 0,state, 0, 37, 9, 9,G,R,B,B,W,O,R,B,O,G,W,G,G,G,Y,B,G,R,O,R,Y,W,R,O,W,B,Y,B,Y,Y,R,O,O,W,W,W,R,R,G,Y,Y,G,Y,Y,O,R,O,B,G,B,B,O,W,W
