x,y,line,cp,algo,difference,age,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
5.112146, 25.532362, 0,start, 0, 43, 0, 0,Y,O,W,Y,W,G,R,G,B,W,W,O,B,G,B,Y,R,R,O,Y,G,Y,R,W,W,W,Y,R,R,B,B,O,O,B,O,B,R,Y,G,R,Y,R,G,O,O,W,W,Y,G,B,B,O,G,G
5.507796, 25.334114, 0,state, 0, 40, 1, 1,Y,O,W,Y,W,G,R,G,B,W,W,O,B,G,B,Y,W,G,O,Y,W,Y,R,W,W,W,Y,Y,R,B,R,O,O,R,O,B,G,R,O,Y,Y,O,R,R,G,B,B,R,G,B,B,O,G,G
6.027711, 25.086788, 0,state, 0, 38, 2, 2,R,Y,Y,G,W,O,B,G,W,W,Y,O,B,G,B,Y,W,G,O,Y,W,G,R,W,G,W,Y,Y,R,W,R,O,W,R,O,O,G,R,O,Y,Y,O,R,R,G,B,B,R,G,B,B,B,O,B
18.989292, 17.63703, 0,state, 0, 39, 3, 3,R,Y,Y,G,W,O,R,O,O,Y,B,W,W,G,Y,G,B,O,O,Y,W,G,R,W,B,G,W,Y,R,W,R,O,W,O,R,G,Y,W,G,Y,Y,O,R,R,G,B,B,R,G,B,B,B,O,B
19.193478, 16.665129, 0,state, 0, 38, 4, 4,R,Y,W,G,W,Y,R,O,O,Y,B,G,W,G,O,G,B,G,B,G,O,G,R,Y,W,W,W,Y,R,W,R,O,W,O,R,G,Y,W,R,Y,Y,B,R,R,B,B,B,Y,G,B,O,B,O,O
19.796473, 16.453144, 0,state, 0, 39, 5, 5,R,G,R,O,W,Y,O,Y,W,W,G,B,W,G,O,G,B,G,B,G,O,O,R,Y,O,W,W,Y,R,Y,R,O,B,O,R,G,Y,W,R,Y,Y,B,R,R,B,B,B,Y,G,B,O,G,W,W
19.663664, 18.093525, 0,state, 0, 38, 6, 6,R,G,Y,O,W,O,O,Y,W,W,G,R,W,G,Y,G,B,W,O,Y,W,G,R,W,B,O,O,Y,R,Y,R,O,B,O,R,G,Y,W,B,Y,Y,O,R,R,G,B,B,R,G,B,B,G,W,B
20.286062, 19.07691, 0,state, 0, 36, 7, 7,R,G,Y,O,W,O,B,W,Y,W,B,G,Y,G,W,R,G,W,O,Y,W,G,R,W,O,R,G,Y,R,Y,R,O,B,B,O,O,W,Y,O,Y,Y,O,R,R,G,B,B,R,G,B,B,G,W,B
21.185535, 18.835066, 0,state, 0, 36, 8, 8,R,G,Y,O,W,O,B,W,Y,W,B,G,Y,G,W,G,W,W,O,Y,B,G,R,B,O,R,R,R,R,Y,G,O,B,W,O,O,O,O,G,Y,Y,R,W,Y,R,B,R,Y,G,B,B,G,W,B
21.113876, 18.087822, 0,state, 0, 39, 9, 9,R,G,Y,O,W,O,G,O,O,W,W,G,W,G,Y,G,B,W,O,Y,B,G,R,B,W,O,O,R,R,Y,G,O,B,O,R,R,Y,W,B,Y,Y,R,W,Y,R,B,R,Y,G,B,B,G,W,B
