"x","y","line","algo","new_x","new_y","new_size","new_color","new_year","new_country","old_x","old_y","old_size","old_color","old_year","old_country","changes","multiplicity[1;67]"
-0.25013536913682033,0.0072318562096529496,0,"year_only","gdp","life_expect","population","continent","1800","[]","gdp","life_expect","population","continent","1800","[]","None",67
-0.26484780487792076,0.005554758981722168,0,"year_only","gdp","life_expect","population","continent","1802","[]","gdp","life_expect","population","continent","1800","[]","Changed year from 1800 to 1802",3
-0.27866923068986765,0.003996897002422714,0,"year_only","gdp","life_expect","population","continent","1804","[]","gdp","life_expect","population","continent","1802","[]","Changed year from 1802 to 1804",3
-0.2919841233534719,0.0015972290294374168,0,"year_only","gdp","life_expect","population","continent","1806","[]","gdp","life_expect","population","continent","1804","[]","Changed year from 1804 to 1806",3
-0.3048388152444323,-0.0005137191567917793,0,"year_only","gdp","life_expect","population","continent","1808","[]","gdp","life_expect","population","continent","1806","[]","Changed year from 1806 to 1808",3
-0.317861391193804,-0.00295199772969607,0,"year_only","gdp","life_expect","population","continent","1810","[]","gdp","life_expect","population","continent","1808","[]","Changed year from 1808 to 1810",9
-0.33055230022578386,-0.004138193307373243,0,"year_only","gdp","life_expect","population","continent","1812","[]","gdp","life_expect","population","continent","1810","[]","Changed year from 1810 to 1812",3
-0.34291243361458007,-0.005525760618617174,0,"year_only","gdp","life_expect","population","continent","1814","[]","gdp","life_expect","population","continent","1812","[]","Changed year from 1812 to 1814",3
-0.3551669334645271,-0.007635165636170131,0,"year_only","gdp","life_expect","population","continent","1816","[]","gdp","life_expect","population","continent","1814","[]","Changed year from 1814 to 1816",3
-0.3672195115876652,-0.009725703597102725,0,"year_only","gdp","life_expect","population","continent","1818","[]","gdp","life_expect","population","continent","1816","[]","Changed year from 1816 to 1818",3
-0.37952992361472104,-0.01146490936540672,0,"year_only","gdp","life_expect","population","continent","1820","[]","gdp","life_expect","population","continent","1818","[]","Changed year from 1818 to 1820",9
-0.3916679242711095,-0.013295263981028623,0,"year_only","gdp","life_expect","population","continent","1822","[]","gdp","life_expect","population","continent","1820","[]","Changed year from 1820 to 1822",3
-0.4034798041592363,-0.014939147617247524,0,"year_only","gdp","life_expect","population","continent","1824","[]","gdp","life_expect","population","continent","1822","[]","Changed year from 1822 to 1824",3
