vector,line,algo,oldage,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
0,0,0.01,0,-6.390134670014301,-7.709151399815914,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
1,0,0.01,1,-6.517481424918444,-7.237749987242108,798,0,32,96,8,224,78,55,83,64,42,1072,63,104,38,87,44,57,96,67,25,19,757,143,62,60,99,49,160,35,46,1,19,491,15,59,14,1,26,44,8,14,39,9,602,58,20,37,19,206,2,0,2,10,3,184,13,0,20,31,24,12,36,49,53,90,645,12,89,30,14,8,45,53,70,71,21,792,47,169,5,8,28,50,10,47,24,5,424,24,16,1,11,5,121,12,0,20,10,339
2,0,0.01,2,-6.147326541163785,-6.877279927283556,916,0,20,26,1,89,28,13,8,31,1,1090,39,29,18,19,12,44,55,14,5,13,827,58,16,28,26,39,48,7,13,1,18,763,1,84,1,1,35,8,4,3,30,6,812,29,17,30,5,203,5,0,0,15,1,412,10,1,16,3,21,4,26,33,28,85,852,4,33,3,9,2,30,29,29,63,2,880,25,115,5,22,38,45,5,73,10,2,734,15,1,0,4,6,71,10,0,14,15,610
3,0,0.01,3,-5.770374413607058,-6.497622330577763,935,0,13,7,1,24,20,8,7,16,1,1090,23,8,8,10,6,30,21,10,2,6,853,26,10,13,11,33,17,4,3,2,22,872,1,71,0,4,30,10,2,1,26,1,843,19,22,22,5,106,13,0,0,29,0,618,21,1,22,11,15,5,19,9,18,42,871,3,16,3,3,2,23,17,15,34,0,899,17,50,6,29,45,33,10,55,7,1,822,14,0,0,8,8,76,6,0,27,17,785
4,0,0.01,4,-5.553278859688616,-6.168727230218449,937,0,14,6,1,18,13,7,6,14,1,1088,14,4,6,9,3,25,14,8,1,4,872,21,6,8,9,32,11,5,2,3,19,893,1,52,1,5,27,13,2,1,23,1,877,16,22,16,8,69,16,3,0,26,0,702,25,1,31,11,13,5,14,6,16,30,876,2,16,2,2,2,23,17,4,17,0,913,14,33,6,29,46,28,8,36,9,0,832,11,0,0,7,8,63,4,0,27,15,843
5,0,0.01,5,-5.456562379719214,-5.812257401934392,940,0,12,4,0,17,12,5,6,14,0,1092,10,2,4,8,3,23,12,8,1,3,888,21,6,6,6,29,13,6,3,3,15,901,1,47,1,5,25,11,2,1,21,1,897,14,20,16,9,56,16,2,0,24,1,727,22,1,32,12,10,5,15,5,15,23,886,2,14,1,2,3,23,18,3,13,2,917,10,29,6,26,43,28,7,34,6,0,836,8,0,0,5,6,48,3,0,30,17,864
6,0,0.01,6,-5.309708437327334,-5.586012920425858,947,0,12,4,0,18,12,4,6,15,0,1093,9,2,3,6,3,22,11,8,0,3,895,22,5,5,7,26,12,5,2,2,14,907,1,39,1,4,26,13,2,1,19,3,902,13,17,15,8,47,12,2,0,23,1,745,19,1,33,12,9,5,16,4,15,18,891,1,14,1,2,3,21,16,3,13,2,925,9,28,6,26,39,23,9,32,6,0,839,8,0,0,7,6,43,3,0,30,16,872
7,0,0.01,7,-4.729745067037015,-5.834643357209608,952,0,12,3,1,17,12,3,5,13,0,1095,8,2,3,6,3,17,9,9,0,3,903,19,5,5,5,24,12,5,2,2,12,913,1,37,2,4,26,12,2,1,16,3,911,11,17,13,8,42,9,2,0,22,1,753,19,2,32,11,8,4,13,4,13,15,892,1,14,1,1,3,23,15,2,10,2,931,9,27,6,25,38,22,9,35,6,0,844,8,0,0,7,7,36,3,0,33,15,881
8,0,0.01,8,-4.597047648514097,-5.66761734770935,954,0,12,3,1,15,12,2,5,14,0,1095,8,2,3,6,3,17,9,9,0,3,908,17,5,5,6,24,8,5,2,3,13,915,1,38,2,4,28,10,2,1,15,3,917,11,17,12,8,36,8,2,0,23,1,755,19,2,30,12,7,4,10,4,12,15,892,1,13,1,1,2,23,15,2,10,2,931,8,26,6,25,37,21,8,33,5,0,850,7,0,0,6,7,32,4,0,35,15,889
9,0,0.01,9,-4.90233196354656,-5.085040803992315,954,0,12,3,1,15,13,2,5,14,0,1097,7,1,3,5,3,13,9,9,0,2,912,18,5,5,6,25,8,4,2,2,14,915,1,37,2,3,24,10,2,1,14,3,918,10,16,12,8,35,8,3,0,24,1,761,18,2,31,12,7,4,11,3,12,14,893,1,10,1,1,2,20,15,2,9,2,935,8,24,6,24,36,21,8,31,5,0,855,6,0,0,6,7,31,5,0,35,16,894
10,0,0.01,10,-4.39198127621995,-5.289165748484838,956,0,12,3,1,12,12,2,5,15,0,1098,6,1,3,5,3,13,9,9,0,2,914,17,4,5,6,25,9,4,2,2,14,917,1,37,2,3,24,10,1,1,15,3,922,9,16,11,7,34,8,3,0,22,1,768,19,2,31,11,7,4,11,2,12,14,892,1,10,1,1,2,20,16,2,8,2,938,8,23,5,23,34,22,7,29,6,0,858,6,0,0,6,7,29,5,0,33,13,896
11,0,0.01,11,-4.635187176963325,-4.755973146659331,956,0,12,3,1,11,12,2,5,15,0,1098,6,1,3,4,3,13,9,8,0,2,920,16,4,5,6,26,9,4,2,2,13,918,1,36,2,2,23,11,1,1,13,3,921,9,15,10,7,34,8,3,0,22,1,770,19,2,29,12,7,4,10,2,12,14,893,1,10,1,1,2,20,16,2,8,2,938,8,23,5,23,32,22,7,29,6,0,863,6,0,0,6,7,30,6,0,34,11,895
12,0,0.01,12,-4.0174700555948455,-5.0920357123904685,956,0,9,3,1,9,11,2,5,15,0,1100,6,1,3,4,3,13,9,7,0,2,926,15,4,5,7,26,10,4,2,3,13,920,1,35,2,3,23,11,1,1,13,3,921,8,13,10,7,33,8,2,0,23,1,773,19,1,27,12,7,4,9,2,12,15,895,1,10,1,1,2,20,15,2,8,2,939,8,20,5,21,30,21,8,29,6,0,864,6,0,0,6,7,29,6,0,33,11,900
13,0,0.01,13,-3.9451560251017606,-4.9096119581049145,956,0,7,3,1,9,11,2,4,15,0,1100,6,1,3,4,3,13,8,6,0,2,934,15,5,4,6,26,10,3,2,3,14,921,1,34,2,3,23,11,1,1,13,3,921,7,12,9,7,33,8,2,0,23,1,779,19,1,26,12,7,4,7,2,11,15,897,1,10,1,1,2,19,14,2,8,2,942,8,19,5,21,27,21,8,26,6,0,867,6,0,0,5,7,29,6,0,31,11,903
