vector,line,age,x,y,cf00,cf01,cf02,cf03,cf04,cf05,cf06,cf07,cf08,cf09,cf10,cf11,cf12,cf13,cf14,cf15,cf16,cf17,cf18,cf19,cf20,cf21,cf22,cf23,cf24,cf25,cf26,cf27,cf28,cf29,cf30,cf31,cf32,cf33,cf34,cf35,cf36,cf37,cf38,cf39,cf40,cf41,cf42,cf43,cf44,cf45,cf46,cf47,cf48,cf49,cf50,cf51,cf52,cf53,cf54,cf55,cf56,cf57,cf58,cf59,cf60,cf61,cf62,cf63,cf64,cf65,cf66,cf67,cf68,cf69,cf70,cf71,cf72,cf73,cf74,cf75,cf76,cf77,cf78,cf79,cf80,cf81,cf82,cf83,cf84,cf85,cf86,cf87,cf88,cf89,cf90,cf91,cf92,cf93,cf94,cf95,cf96,cf97,cf98,cf99
0,0,0,-1.355536532144347,-2.1675475241418036,290,109,149,252,218,420,298,247,258,128,461,479,176,251,179,265,132,400,136,359,6,4,5,10,14,3,18,15,34,9,80,65,47,101,62,68,76,6,43,41,0,0,5,0,9,5,0,2,2,1,86,325,352,274,363,59,272,298,418,402,2,0,3,4,5,1,0,0,8,6,43,66,261,73,102,55,122,47,51,23,11,87,31,45,26,16,40,13,24,40,1,0,3,0,4,0,0,0,0,0
1,0,1,20.360605175255138,4.550005131864888,962,0,11,5,1,11,12,2,5,10,0,1113,8,3,0,3,4,13,7,7,1,2,942,16,5,4,5,27,10,4,2,2,13,925,0,24,2,4,23,7,0,1,7,2,909,6,9,7,9,24,4,0,0,29,1,804,23,0,22,11,6,4,8,2,13,11,899,2,11,1,0,2,14,10,1,5,2,939,7,9,4,11,22,11,9,18,2,0,867,6,1,0,7,7,43,6,0,34,13,930
2,0,2,20.623714021764602,4.501944266204709,966,0,8,3,1,4,12,1,4,7,0,1119,4,2,1,3,4,11,6,6,2,2,964,11,5,1,4,22,6,1,2,2,13,950,0,14,0,4,15,5,0,0,7,0,925,1,9,4,8,19,3,0,1,20,0,844,19,0,20,9,4,3,5,1,11,9,905,0,9,1,0,2,11,9,0,3,1,955,6,8,2,7,15,10,6,7,4,2,891,6,1,0,4,4,33,6,0,29,9,947
3,0,3,20.987160310396064,4.425297507596574,967,0,6,3,2,4,9,1,4,5,0,1119,4,1,2,1,4,10,4,7,1,2,980,9,5,1,5,23,7,1,1,2,9,966,0,9,0,2,10,6,0,0,6,0,933,0,8,3,7,17,3,0,1,14,0,857,18,0,14,10,4,3,5,0,10,8,909,0,9,1,1,2,11,6,0,2,1,961,7,7,3,7,8,8,3,5,4,2,904,7,0,0,2,3,27,5,0,26,8,948
4,0,4,21.294732429864894,4.375130961712802,969,0,6,2,2,4,8,1,4,5,0,1121,2,1,2,1,3,10,4,8,1,2,985,7,9,0,1,20,5,0,0,2,7,974,0,9,0,2,9,6,0,0,7,0,938,0,6,2,6,17,2,1,1,10,0,859,16,0,11,7,5,2,4,0,5,8,918,0,8,1,1,2,10,6,0,2,1,972,7,7,2,5,8,7,2,5,5,2,912,4,0,0,2,3,24,4,0,19,8,954
5,0,5,21.534743996000774,4.338989417104126,971,0,7,2,2,5,8,1,5,4,0,1124,2,0,2,1,3,11,4,7,1,2,988,4,9,0,2,18,3,0,0,1,5,984,0,9,1,2,8,7,0,0,6,0,942,0,5,1,8,13,2,0,2,6,0,860,14,0,11,8,2,2,3,0,4,8,918,0,4,1,1,2,10,5,1,2,2,976,7,6,3,4,7,6,2,4,5,2,917,4,0,0,2,3,20,3,0,17,7,959
6,0,6,21.734168251434248,4.316679292019989,972,0,6,2,2,5,8,1,4,4,0,1123,2,0,1,1,3,11,2,7,1,2,992,4,8,0,3,16,2,0,0,1,5,985,0,7,1,2,6,6,0,0,5,0,945,0,4,1,8,14,2,0,1,5,0,862,17,0,11,7,1,2,2,0,5,7,917,0,5,1,1,2,10,5,1,2,2,981,8,6,2,5,8,5,2,4,3,2,920,3,1,0,1,4,18,4,0,14,8,961
7,0,7,21.897968987944324,4.298960985364897,972,0,7,1,2,5,8,1,4,4,0,1122,2,0,1,1,3,11,2,7,1,2,992,4,9,0,3,15,2,0,0,1,5,985,0,7,1,1,5,6,0,0,4,0,946,0,4,1,6,13,2,0,1,6,0,862,17,0,12,7,1,3,2,0,4,7,917,0,5,1,1,2,10,5,1,2,2,984,8,6,2,5,8,5,2,4,3,3,922,2,1,0,1,4,17,4,0,12,8,963
8,0,8,22.06782165405973,4.279774641798278,971,0,7,1,1,5,8,1,5,3,0,1122,3,0,1,1,3,11,2,6,1,2,991,5,8,0,3,14,2,0,0,1,4,983,0,8,1,1,4,6,1,0,4,0,949,0,4,2,7,12,2,0,1,7,0,862,14,0,10,6,1,3,3,0,4,7,920,0,4,1,1,2,10,5,1,2,2,986,7,6,2,5,8,5,2,5,3,3,926,2,1,0,1,4,16,2,0,10,7,967
9,0,9,22.15521023888044,4.223691662627769,971,0,7,1,1,4,8,1,5,3,0,1123,2,0,1,1,3,11,2,6,1,3,995,5,8,0,3,14,1,0,0,1,4,983,0,8,1,1,3,5,1,0,3,0,950,0,4,1,7,9,1,0,1,7,0,863,14,0,7,7,1,3,1,0,3,7,920,0,3,1,1,2,10,5,1,2,2,989,7,6,3,3,8,5,1,5,3,4,930,2,1,0,1,4,17,2,0,7,9,970
