x,y,line,cp,algo,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-39.69162, 34.03001, 0, start, beginner,O,G,R,G,W,R,W,R,Y,O,Y,R,G,G,W,B,Y,Y,B,B,O,B,R,B,G,R,B,G,W,W,Y,O,R,R,O,B,Y,O,O,B,Y,W,W,G,Y,R,Y,G,O,B,O,G,W,W
-39.737103, 34.053074, 0, intermediate, beginner,O,G,R,G,W,R,G,R,B,R,W,Y,Y,G,Y,O,G,B,B,B,O,B,R,B,O,O,Y,G,W,W,Y,O,R,W,R,Y,B,O,R,B,Y,W,W,G,Y,R,Y,G,O,B,O,G,W,W
-39.790207, 34.08032, 0, intermediate, beginner,O,G,Y,G,W,Y,G,R,B,R,W,R,Y,G,W,O,G,Y,O,B,B,O,R,B,Y,B,O,G,W,W,Y,O,R,W,R,Y,B,O,G,B,Y,O,W,G,W,R,Y,R,O,B,R,G,W,B
-39.604057, 34.014538, 0, intermediate, beginner,G,G,O,R,W,G,B,Y,Y,Y,O,O,Y,G,W,O,G,Y,G,B,B,W,R,B,B,B,O,G,W,R,Y,O,W,W,R,R,B,O,G,B,Y,O,W,G,W,R,Y,R,O,B,R,Y,R,W
-39.511086, 33.96932, 0, intermediate, beginner,G,G,R,R,W,R,B,Y,W,Y,O,O,Y,G,G,O,G,Y,B,B,O,B,R,B,G,W,B,G,W,R,Y,O,W,W,R,R,B,O,O,B,Y,W,W,G,Y,R,Y,G,O,B,O,Y,R,W
-39.186554, 33.834167, 0, intermediate, beginner,G,G,R,R,W,R,O,O,B,Y,G,O,G,G,Y,O,O,Y,B,B,O,B,R,B,W,R,R,G,W,R,Y,O,W,G,W,B,W,Y,B,B,Y,W,W,G,Y,R,Y,G,O,B,O,Y,R,W
-38.32849, 33.450817, 0, intermediate, beginner,G,G,R,R,W,R,O,O,B,Y,G,O,G,G,Y,R,B,O,B,B,R,B,R,Y,W,R,G,O,W,R,O,O,W,Y,W,B,B,W,Y,Y,Y,G,W,B,W,G,Y,G,O,B,O,Y,R,W
-38.134644, 33.457523, 0, intermediate, beginner,G,G,O,R,W,Y,O,O,O,Y,G,Y,G,G,G,R,B,W,W,B,B,R,R,B,G,Y,R,O,W,R,O,O,W,Y,W,B,B,W,G,Y,Y,O,W,B,W,G,Y,R,O,B,R,Y,R,B
-37.962914, 33.34142, 0, intermediate, beginner,O,R,G,O,W,G,O,Y,O,G,R,W,G,G,G,R,B,W,Y,B,B,R,R,B,B,Y,R,O,W,Y,O,O,G,Y,W,Y,B,W,G,Y,Y,O,W,B,W,G,Y,R,O,B,R,B,W,R
-37.87291, 33.12246, 0, intermediate, beginner,O,R,R,O,W,R,O,Y,R,G,R,G,G,G,G,R,B,O,B,B,R,B,R,Y,Y,R,B,O,W,Y,O,O,G,Y,W,Y,B,W,W,Y,Y,G,W,B,W,G,Y,G,O,B,O,B,W,W
