x,y,line{"project":false},cp{"project":false},algo,difference,oldage,id,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
-19.78766,-2.0323055,0,start,beginner,39,0,0,O,B,G,W,W,R,Y,B,R,R,W,W,R,G,O,O,G,G,O,R,W,G,R,W,G,G,R,O,Y,Y,Y,O,R,G,B,B,W,W,Y,G,Y,O,B,B,R,W,O,B,O,B,Y,B,Y,Y
-17.861021,-3.1953107999999997,0,state,beginner,38,1,1,R,B,Y,R,W,W,G,B,O,Y,Y,B,R,G,O,O,G,G,B,R,W,R,R,W,Y,G,R,O,Y,G,Y,O,G,G,B,O,W,W,Y,G,Y,O,B,B,R,W,O,B,O,B,Y,W,W,R
-16.175423000000002,-1.8454624,0,state,beginner,40,2,2,R,B,Y,R,W,W,G,B,O,O,R,Y,G,G,Y,G,O,B,B,R,W,R,R,W,G,B,O,O,Y,G,Y,O,G,Y,W,W,R,G,Y,G,Y,O,B,B,R,W,O,B,O,B,Y,W,W,R
-14.597284,-0.31010187,0,state,beginner,42,3,3,R,B,Y,R,W,Y,G,B,B,O,R,Y,G,G,O,G,O,R,G,R,B,B,R,R,O,W,W,O,Y,G,Y,O,G,Y,W,W,R,G,B,G,Y,Y,B,B,R,W,O,Y,O,B,W,W,W,O
-12.825966000000001,-1.9278647,0,state,beginner,40,4,4,G,R,R,B,W,B,B,Y,Y,O,B,G,G,G,O,G,O,R,W,R,B,W,R,R,O,W,W,O,Y,O,Y,O,R,Y,W,Y,R,G,B,G,Y,Y,B,B,R,W,O,Y,O,B,W,W,G,G
-14.420032500000001,-3.4873538,0,state,beginner,40,5,5,G,R,Y,B,W,W,B,Y,G,O,B,R,G,G,B,G,O,Y,B,R,W,R,R,W,W,W,O,O,Y,O,Y,O,R,Y,W,Y,R,G,G,G,Y,O,B,B,R,W,O,B,O,B,Y,W,G,R
-15.642006,-5.4717975,0,state,beginner,38,6,6,G,R,Y,B,W,W,G,G,R,Y,O,G,B,G,G,R,B,O,B,R,W,R,R,W,Y,W,Y,O,Y,O,Y,O,R,W,W,O,G,Y,B,G,Y,O,B,B,R,W,O,B,O,B,Y,W,G,R
-14.185728,-7.614177000000001,0,state,beginner,39,7,7,G,R,Y,B,W,W,G,G,R,Y,O,G,B,G,G,Y,W,W,B,R,W,R,R,O,Y,W,B,R,Y,O,B,O,R,O,W,O,B,O,R,Y,Y,B,G,G,B,W,Y,O,O,B,Y,W,G,R
-11.524298,-7.082045599999999,0,state,beginner,40,8,8,G,R,O,B,W,Y,G,G,R,Y,O,Y,B,G,W,Y,W,R,W,O,B,R,R,W,B,R,Y,R,Y,O,B,O,R,O,W,O,B,O,G,Y,Y,G,G,G,W,W,Y,R,O,B,B,W,G,B
-10.789135,-9.122892,0,state,beginner,43,9,9,G,B,G,G,W,R,R,Y,O,B,R,W,B,G,W,Y,W,R,W,O,B,G,R,W,B,R,Y,R,Y,Y,B,O,O,O,W,Y,B,O,G,Y,Y,G,G,G,W,W,Y,R,O,B,B,O,R,O
-13.59914,-10.019738,0,state,beginner,40,10,10,G,B,W,G,W,W,R,Y,R,B,R,G,B,G,G,Y,W,W,B,G,W,R,R,O,Y,W,B,R,Y,Y,B,O,O,O,W,Y,B,O,R,Y,Y,B,G,G,O,W,Y,G,O,B,R,O,R,O
-14.188689000000002,-12.057136,0,state,beginner,40,11,11,G,B,W,G,W,W,R,O,B,W,W,Y,G,G,B,G,R,B,B,G,W,R,R,O,O,W,Y,R,Y,Y,B,O,O,Y,W,B,R,Y,R,Y,Y,B,G,G,O,W,Y,G,O,B,R,O,R,O
-12.572988,-13.793195,0,state,beginner,40,12,12,G,B,W,G,W,W,R,O,B,W,W,Y,G,G,B,Y,O,W,B,G,W,R,R,Y,O,W,G,G,Y,Y,R,O,O,B,W,B,R,B,O,Y,Y,G,R,Y,G,Y,B,R,O,B,R,O,R,O
-10.173981,-12.032966,0,state,beginner,41,13,13,G,B,R,G,W,R,R,O,O,W,W,W,G,G,W,Y,O,B,W,Y,G,G,R,W,B,R,O,G,Y,Y,R,O,O,B,W,B,R,B,Y,Y,Y,B,R,Y,W,Y,B,O,O,B,G,O,R,G
-8.78452,-13.771101999999999,0,state,beginner,39,14,14,R,G,G,O,W,B,O,R,R,B,G,W,G,G,W,Y,O,B,O,Y,G,R,R,W,G,R,O,G,Y,W,R,O,W,B,W,W,R,B,Y,Y,Y,B,R,Y,W,Y,B,O,O,B,G,B,O,Y
