"x","y","line","algo","new_x","new_y","new_size","new_color","new_year","new_country","old_x","old_y","old_size","old_color","old_year","old_country","changes","multiplicity[1;172]"
-24.830156326293945,-19.566024780273438,0,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","life_expect","population","continent","1800","[]","None",172
-14.122175216674805,-22.058629989624023,0,"Task1","gdp","life_expect","population","continent","1968","[]","gdp","life_expect","population","continent","1800","[]","Changed year from 1800 to 1968",1
-13.02729606628418,-19.72182846069336,0,"Task1","gdp","life_expect","population","continent","2013","[]","gdp","life_expect","population","continent","1968","[]","Changed year from 1968 to 2013",1
-13.02435302734375,-19.677797317504883,0,"Task1","gdp","life_expect","population","continent","2014","[]","gdp","life_expect","population","continent","2013","[]","Changed year from 2013 to 2014",1
-13.016362190246582,-19.63397216796875,0,"Task1","gdp","life_expect","population","continent","2015","[]","gdp","life_expect","population","continent","2014","[]","Changed year from 2014 to 2015",59
-1.9084504842758179,-15.678150177001953,0,"Task1","gdp","population","population","continent","2015","[]","gdp","life_expect","population","continent","2015","[]","Changed y-axis attribute from life_expect to population",117
-8.894049644470215,-0.03372650220990181,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","population","continent","2015","[]","Changed size attribute from population to gdp",50
-8.903261184692383,-0.023259691894054413,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
-8.855085372924805,-0.019004255533218384,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
-8.894049644470215,-0.03372650220990181,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[""China""]","Removed {'China'} from country selection.",50
-8.894049644470215,-0.03372650220990181,0,"Task1","gdp","population","gdp","continent","2015","[]","gdp","population","gdp","continent","2015","[]","",50
-8.903261184692383,-0.023259691894054413,0,"Task1","gdp","population","gdp","continent","2015","[""Qatar""]","gdp","population","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",91
-8.855085372924805,-0.019004255533218384,0,"Task1","gdp","population","gdp","continent","2015","[""China""]","gdp","population","gdp","continent","2015","[""Qatar""]","Added {'China'} to country selection and removed {'Qatar'} from country selection",84
-24.830156326293945,-19.566024780273438,1,"Task1","gdp","life_expect","population","continent","1800","[]","gdp","population","gdp","continent","2015","[""China""]","None",172
-25.105358123779297,-13.465288162231445,1,"Task1","gdp","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","continent","1800","[]","Changed color attribute from continent to main_religion",5
-18.727733612060547,17.1224308013916,1,"Task1","child_mortality","life_expect","population","main_religion","1800","[]","gdp","life_expect","population","main_religion","1800","[]","Changed x-axis attribute from gdp to child_mortality",3
-16.062551498413086,13.774401664733887,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","population","main_religion","1800","[]","Changed size attribute from population to gdp",8
-16.472227096557617,14.241106033325195,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","child_mortality","life_expect","gdp","main_religion","1800","[]","Added {'Bahamas'} to country selection.",2
-16.516977310180664,14.07990837097168,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Eritrea""]","child_mortality","life_expect","gdp","main_religion","1800","[""Bahamas""]","Added {'Eritrea'} to country selection and removed {'Bahamas'} from country selection",2
-16.26911735534668,14.383066177368164,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Syria""]","child_mortality","life_expect","gdp","main_religion","1800","[""Eritrea""]","Added {'Syria'} to country selection and removed {'Eritrea'} from country selection",2
-16.075063705444336,14.376375198364258,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Somalia""]","child_mortality","life_expect","gdp","main_religion","1800","[""Syria""]","Added {'Somalia'} to country selection and removed {'Syria'} from country selection",2
-15.825531959533691,14.025198936462402,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Uzbekistan""]","child_mortality","life_expect","gdp","main_religion","1800","[""Somalia""]","Added {'Uzbekistan'} to country selection and removed {'Somalia'} from country selection",2
-16.495643615722656,13.880051612854004,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Japan""]","child_mortality","life_expect","gdp","main_religion","1800","[""Uzbekistan""]","Added {'Japan'} to country selection and removed {'Uzbekistan'} from country selection",2
-15.861011505126953,14.239013671875,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""China""]","child_mortality","life_expect","gdp","main_religion","1800","[""Japan""]","Added {'China'} to country selection and removed {'Japan'} from country selection",2
-16.276639938354492,13.716049194335938,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""India""]","child_mortality","life_expect","gdp","main_religion","1800","[""China""]","Added {'India'} to country selection and removed {'China'} from country selection",2
-15.90672779083252,13.808052062988281,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[""Qatar""]","child_mortality","life_expect","gdp","main_religion","1800","[""India""]","Added {'Qatar'} to country selection and removed {'India'} from country selection",2
-16.062551498413086,13.774401664733887,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","gdp","main_religion","1800","[""Qatar""]","Removed {'Qatar'} from country selection.",8
-16.062551498413086,13.774401664733887,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","gdp","main_religion","1800","[]","",8
-16.062551498413086,13.774401664733887,1,"Task1","child_mortality","life_expect","gdp","main_religion","1800","[]","child_mortality","life_expect","gdp","main_religion","1800","[]","",8
-17.74961280822754,11.401896476745605,1,"Task1","child_mortality","life_expect","gdp","main_religion","2015","[]","child_mortality","life_expect","gdp","main_religion","1800","[]","Changed year from 1800 to 2015",11
-15.67236042022705,6.181195259094238,1,"Task1","gdp","life_expect","gdp","main_religion","2015","[]","child_mortality","life_expect","gdp","main_religion","2015","[]","Changed x-axis attribute from child_mortality to gdp",2
-13.428165435791016,4.62414026260376,1,"Task1","gdp","population","gdp","main_religion","2015","[]","gdp","life_expect","gdp","main_religion","2015","[]","Changed y-axis attribute from life_expect to population",2
-15.989261627197266,4.295202732086182,1,"Task1","gdp","gdp","gdp","main_religion","2015","[]","gdp","population","gdp","main_religion","2015","[]","Changed y-axis attribute from population to gdp",2
-7.867316246032715,-4.303430080413818,1,"Task1","gdp","gdp","gdp","continent","2015","[]","gdp","gdp","gdp","main_religion","2015","[]","Changed color attribute from main_religion to continent",9
-7.7952470779418945,-4.289034366607666,1,"Task1","gdp","gdp","gdp","continent","2015","[""Qatar""]","gdp","gdp","gdp","continent","2015","[]","Added {'Qatar'} to country selection.",13
-16.010560989379883,4.29307222366333,1,"Task1","gdp","gdp","gdp","main_religion","2015","[""Qatar""]","gdp","gdp","gdp","continent","2015","[""Qatar""]","Changed color attribute from continent to main_religion",2
-16.820802688598633,4.169681549072266,1,"Task1","gdp","gdp","child_mortality","main_religion","2015","[""Qatar""]","gdp","gdp","gdp","main_religion","2015","[""Qatar""]","Changed size attribute from gdp to child_mortality",2
-7.489891529083252,19.67404556274414,1,"Task1","gdp","child_mortality","child_mortality","main_religion","2015","[""Qatar""]","gdp","gdp","child_mortality","main_religion","2015","[""Qatar""]","Changed y-axis attribute from gdp to child_mortality",2
-6.785381317138672,19.177579879760742,1,"Task1","gdp","child_mortality","fertility","main_religion","2015","[""Qatar""]","gdp","child_mortality","child_mortality","main_religion","2015","[""Qatar""]","Changed size attribute from child_mortality to fertility",2
-4.645358562469482,20.156551361083984,1,"Task1","fertility","child_mortality","fertility","main_religion","2015","[""Qatar""]","gdp","child_mortality","fertility","main_religion","2015","[""Qatar""]","Changed x-axis attribute from gdp to fertility",4
-4.495321750640869,20.216711044311523,1,"Task1","fertility","child_mortality","life_expect","main_religion","2015","[""Qatar""]","fertility","child_mortality","fertility","main_religion","2015","[""Qatar""]","Changed size attribute from fertility to life_expect",2
