x,y,line,algo,optimal,new_x,new_y,new_size,new_color,new_year,new_country,old_x,old_y,old_size,old_color,old_year,old_country
20.860869610213943,-22.878193473920728,Task1 imal,Task1,no,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1800,[]
-35.300180454909835,-23.414548319381108,Task1 imal,Task1,no,gdp,life_expect,population,continent,2015,[],gdp,life_expect,population,continent,1800,[]
-27.110139037315818,-24.92780980679413,Task1 imal,Task1,no,gdp,life_expect,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2015,[]
-5.12425380754077,-36.120698891534694,Task1 imal,Task1,no,population,life_expect,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2015,['Qatar']
-4.44079849382343,-35.766541864495004,Task1 imal,Task1,no,population,life_expect,population,continent,2015,['China'],population,life_expect,population,continent,2015,['Qatar']
25.966124857363912,-19.254433923022688,Task1 JiJa,Task1,no,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1800,[]
-34.73216362437572,-21.05843252001217,Task1 JiJa,Task1,no,gdp,life_expect,population,continent,2015,[],gdp,life_expect,population,continent,1800,[]
-15.320335392161567,-16.633894741747604,Task1 JiJa,Task1,no,gdp,population,population,continent,2015,[],gdp,life_expect,population,continent,2015,[]
-29.502675115885665,10.101732854281359,Task1 JiJa,Task1,no,gdp,population,child_mortality,continent,2015,[],gdp,population,population,continent,2015,[]
-45.07123632960076,-7.287881950629599,Task1 JiJa,Task1,no,gdp,population,fertility,continent,2015,[],gdp,population,child_mortality,continent,2015,[]
-41.432803895422495,-2.849097417221294,Task1 JiJa,Task1,no,gdp,population,life_expect,continent,2015,[],gdp,population,fertility,continent,2015,[]
-29.496681012888516,10.110179389282333,Task1 JiJa,Task1,no,gdp,population,child_mortality,continent,2015,[],gdp,population,life_expect,continent,2015,[]
-39.18866748445303,-10.766793373605635,Task1 JiJa,Task1,no,gdp,population,child_mortality,continent,2015,['China'],gdp,population,child_mortality,continent,2015,[]
-29.521140905828766,10.070447649395216,Task1 JiJa,Task1,no,gdp,population,child_mortality,continent,2015,['Qatar'],gdp,population,child_mortality,continent,2015,['China']
21.823301571740775,-23.562556053388626,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,1800,[],gdp,life_expect,population,continent,1800,[]
-63.08066883200772,-36.76635074764278,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2005,[],gdp,life_expect,population,continent,1800,[]
-15.539335728172906,16.89943386463963,Task1 AmKa,Task1,no,gdp,life_expect,gdp,continent,2005,[],gdp,life_expect,population,continent,2005,[]
-52.85070919925167,-12.387451899285605,Task1 AmKa,Task1,no,gdp,life_expect,life_expect,continent,2005,[],gdp,life_expect,gdp,continent,2005,[]
-63.08066883200772,-36.76635074764278,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2005,[],gdp,life_expect,life_expect,continent,2005,[]
-60.72603799554834,-35.597166735822945,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2005,['Japan'],gdp,life_expect,population,continent,2005,[]
-31.377150928393245,-32.440300748610866,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2005,['Qatar'],gdp,life_expect,population,continent,2005,['Japan']
-26.936773187058215,-24.89497306865573,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2005,['Qatar']
-26.68664744968388,-10.769261768406567,Task1 AmKa,Task1,no,gdp,population,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2015,['Qatar']
-81.99499282555003,-16.40927756192508,Task1 AmKa,Task1,no,gdp,population,population,continent,2015,['India'],gdp,population,population,continent,2015,['Qatar']
-38.914603773860684,-12.270525492838138,Task1 AmKa,Task1,no,gdp,population,population,continent,2015,['China'],gdp,population,population,continent,2015,['India']
-49.95896314781991,-49.64640566854563,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2015,['China'],gdp,population,population,continent,2015,['China']
-42.23189065394039,-23.018673581446194,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2015,['India'],gdp,life_expect,population,continent,2015,['China']
-34.77430692822921,-23.88673634713534,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2015,[],gdp,life_expect,population,continent,2015,['India']
-26.435148788114688,-25.43420326375856,Task1 AmKa,Task1,no,gdp,life_expect,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2015,[]
-26.440594365372675,-9.688141376612283,Task1 AmKa,Task1,no,gdp,population,population,continent,2015,['Qatar'],gdp,life_expect,population,continent,2015,['Qatar']
