"x","y","line","user","task","algo","accuracy","autoCompleteUsed","rankOfPredictionUsed","difficulty","supported","training","isGroundTruth","turnedPrediction","selectedCoordsNorm","multiplicity[1;129]"
-0.35123478688955084,-0.557430187701331,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[]",129
-0.3133381936011462,1.6759713964048737,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.7578238301083806, 'y': 0.5384357102471756}]",91
-0.3133381936011462,1.6759713964048737,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}]",105
-5.9614846300911335,2.402578362781903,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}, {'x': 0.0, 'y': 0.6313642544499422}]",6
-5.818771457143549,2.2487395418429226,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.0, 'y': 0.6313642544499422}]",91
-6.000083980105091,2.578164488159397,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}, {'x': 0.016101633425378483, 'y': 0.6360725171533116}]",3
-5.9614846300911335,2.402578362781903,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.0, 'y': 0.6313642544499422}, {'x': 0.06464148331064822, 'y': 0.6476825647339846}]",6
-5.818771457143549,2.2487395418429226,0,"5f5bc70414f72236d0612d7a","out_easy_task_2","out_easy_task_2",0.33333333333333337,False,-1,"easy",False,False,False,"N/A","[{'x': 1.0, 'y': 1.0}, {'x': 0.0, 'y': 0.6313642544499422}]",91
-0.35123478688955084,-0.557430187701331,1,"5ecc4a93243b34435985b392","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,1,"5ecc4a93243b34435985b392","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 0.6293289359671014, 'y': 0.0}]",105
-5.818771457143549,2.2487395418429226,1,"5ecc4a93243b34435985b392","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,1,"5ecc4a93243b34435985b392","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 0.6293289359671014, 'y': 0.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}, {'x': 1.0, 'y': 1.0}]",58
-0.35123478688955084,-0.557430187701331,2,"5f256074297aac1d8ef7382d","out_easy_task_2","out_easy_task_2",1.0,True,2,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,2,"5f256074297aac1d8ef7382d","out_easy_task_2","out_easy_task_2",1.0,True,2,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,2,"5f256074297aac1d8ef7382d","out_easy_task_2","out_easy_task_2",1.0,True,2,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,2,"5f256074297aac1d8ef7382d","out_easy_task_2","out_easy_task_2",1.0,True,2,"easy",True,False,False,True,"[{'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",58
-0.35123478688955084,-0.557430187701331,3,"5dd6f1d7c5faa268624c5037","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[]",129
-0.3133381936011462,1.6759713964048737,3,"5dd6f1d7c5faa268624c5037","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}]",105
-5.818771457143549,2.2487395418429226,3,"5dd6f1d7c5faa268624c5037","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,False,"[{'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",91
-6.737934348633508,2.3040865171887748,3,"5dd6f1d7c5faa268624c5037","out_easy_task_2","out_easy_task_2",1.0,False,-1,"easy",True,False,False,True,"[{'x': 0.6293289359671014, 'y': 0.0}, {'x': 1.0, 'y': 1.0}, {'x': 0.683136291024643, 'y': 0.17838917560592332}]",58
