x,y,line,cp,algo,changes,up00,up01,up02,up10,up11,up12,up20,up21,up22,front00,front01,front02,front10,front11,front12,front20,front21,front22,right00,right01,right02,right10,right11,right12,right20,right21,right22,left00,left01,left02,left10,left11,left12,left20,left21,left22,down00,down01,down02,down10,down11,down12,down20,down21,down22,back00,back01,back02,back10,back11,back12,back20,back21,back22
8.778529,21.689743,0,start,beginner,,G,W,R,B,W,B,O,Y,B,W,G,Y,R,G,G,O,R,G,W,R,B,O,R,W,O,O,Y,Y,O,R,G,O,Y,W,B,G,B,Y,O,R,Y,G,R,Y,W,B,O,R,W,B,W,Y,B,G
8.667371,21.93622,0,intermediate,beginner,Di,G,W,R,B,W,B,O,Y,B,W,G,Y,R,G,G,Y,W,B,W,R,B,O,R,O,O,O,R,O,O,R,R,O,Y,G,B,G,O,G,W,Y,Y,Y,B,R,R,W,G,Y,W,B,W,Y,B,G
8.170093,23.009968,0,intermediate,beginner,F2,G,W,R,B,W,B,W,G,O,B,W,Y,G,G,R,Y,G,W,W,R,B,O,R,O,G,B,G,O,O,R,R,O,Y,O,O,R,B,Y,O,Y,Y,Y,B,R,R,W,G,Y,W,B,W,Y,B,G
8.113765,23.191149,0,intermediate,beginner,D2,G,W,R,B,W,B,W,G,O,B,W,Y,G,G,R,Y,G,W,W,R,O,O,R,R,G,B,O,G,O,R,O,O,Y,B,O,R,R,R,B,Y,Y,Y,O,Y,B,W,G,Y,W,B,W,Y,B,G
26.417822,31.040308,0,intermediate,beginner,Ui,R,B,O,W,W,G,G,B,W,R,Y,R,G,G,R,Y,G,W,Y,R,O,W,R,R,B,B,O,G,O,G,O,O,B,B,O,Y,R,R,B,Y,Y,Y,O,Y,B,W,G,Y,W,B,W,W,O,G
26.752703,30.833641,0,intermediate,beginner,F,R,B,O,W,W,G,B,O,Y,Y,G,R,G,G,Y,W,R,R,Y,R,O,W,R,R,G,B,W,G,O,G,O,O,B,B,R,R,O,B,B,Y,Y,Y,O,Y,B,W,G,Y,W,B,W,W,O,G
27.69121,30.592922,0,intermediate,beginner,R,R,B,R,W,W,Y,B,O,R,Y,G,B,G,G,Y,W,R,B,G,W,Y,B,R,R,W,R,O,G,O,G,O,O,B,B,R,R,O,B,Y,Y,Y,W,O,Y,G,W,G,O,W,B,G,W,O,Y
28.002981,30.073421,0,intermediate,beginner,U,B,W,R,O,W,B,R,Y,R,W,B,G,G,G,Y,W,R,B,W,W,Y,O,R,R,Y,R,O,G,O,Y,O,O,G,B,R,B,O,B,Y,Y,Y,W,O,Y,G,W,G,O,W,B,G,R,B,G
27.820782,28.977451,0,intermediate,beginner,Ri,B,W,O,O,W,G,R,Y,G,W,B,R,G,G,B,W,R,R,Y,R,O,W,R,R,W,O,Y,G,O,Y,O,O,G,B,R,B,O,B,G,Y,Y,Y,O,Y,B,W,G,Y,W,B,W,R,B,G
27.766987,27.809298,0,intermediate,beginner,U2,G,Y,R,G,W,O,O,W,B,G,B,R,G,G,B,W,R,R,B,R,O,G,R,R,Y,O,Y,G,O,W,O,O,W,B,R,Y,O,B,G,Y,Y,Y,O,Y,B,W,G,Y,W,B,W,R,B,W
27.84485,27.752563,0,intermediate,beginner,B2,B,Y,O,G,W,O,O,W,B,G,B,R,G,G,B,W,R,R,G,O,W,G,R,R,Y,O,Y,B,R,O,O,O,W,B,R,Y,O,B,G,Y,Y,Y,R,Y,G,W,B,R,W,B,W,Y,G,W
27.938025,28.631823,0,intermediate,beginner,U2,B,W,O,O,W,G,O,Y,B,W,G,Y,G,G,B,W,R,R,Y,O,W,W,R,R,O,O,Y,B,R,Y,O,O,G,B,R,G,O,B,G,Y,Y,Y,R,Y,G,W,B,R,W,B,W,R,B,G
15.0571375,-38.372833,0,checkpoint,beginner,F2,B,W,O,O,W,G,G,B,O,R,R,W,B,G,G,Y,G,W,Y,O,W,W,R,R,B,R,G,B,R,Y,O,O,G,O,O,Y,B,Y,O,Y,Y,Y,R,Y,G,W,B,R,W,B,W,R,B,G
15.722489,-37.47505,0,intermediate,beginner,U2,O,B,G,G,W,O,O,W,B,G,B,R,B,G,G,Y,G,W,Y,O,W,G,R,R,Y,R,G,B,R,B,O,O,W,O,O,Y,B,Y,O,Y,Y,Y,R,Y,G,W,B,R,W,B,W,W,R,R
14.565722,-36.305595,0,intermediate,beginner,R,O,B,R,G,W,G,O,W,W,G,B,O,B,G,Y,Y,G,G,Y,G,Y,R,R,O,G,R,W,B,R,B,O,O,W,O,O,Y,B,Y,R,Y,Y,W,R,Y,R,W,B,G,W,B,O,W,R,B
14.404899,-36.413315,0,intermediate,beginner,Ui,R,G,W,B,W,W,O,G,O,B,W,Y,B,G,Y,Y,G,G,O,G,Y,B,R,O,G,R,W,B,R,B,O,O,R,O,O,W,B,Y,R,Y,Y,W,R,Y,R,W,B,G,W,B,O,Y,R,G
15.756858,-37.576443,0,intermediate,beginner,Ri,R,G,G,B,W,O,O,G,G,B,W,W,B,G,W,Y,G,O,Y,O,W,G,R,R,O,B,G,B,R,B,O,O,R,O,O,W,B,Y,Y,Y,Y,Y,R,Y,G,W,B,R,W,B,W,Y,R,R
14.932256,-38.25439,0,intermediate,beginner,U2,G,G,O,O,W,B,G,G,R,R,R,Y,B,G,W,Y,G,O,W,O,W,R,R,R,B,B,G,B,R,O,O,O,G,O,O,Y,B,Y,Y,Y,Y,Y,R,Y,G,W,B,R,W,B,W,W,W,B
13.783403,-37.2524,0,intermediate,beginner,R,G,G,Y,O,W,W,G,G,O,R,R,Y,B,G,Y,Y,G,G,B,R,W,B,R,O,G,R,W,B,R,O,O,O,G,O,O,Y,B,Y,R,Y,Y,W,R,Y,B,W,B,O,W,B,B,W,W,R
12.553863,-36.728325,0,intermediate,beginner,Ui,Y,W,O,G,W,G,G,O,G,O,G,Y,B,G,Y,Y,G,G,Y,R,W,R,R,O,R,R,W,B,R,R,O,O,W,O,O,W,B,Y,R,Y,Y,W,R,Y,B,W,B,O,W,B,B,B,B,G
12.176993,-36.61152,0,intermediate,beginner,R2,Y,W,R,G,W,W,G,O,B,O,G,O,B,G,B,Y,G,G,W,R,R,O,R,R,W,R,Y,B,R,R,O,O,W,O,O,W,B,Y,O,Y,Y,G,R,Y,G,W,B,Y,W,B,Y,B,B,G
11.111441,-35.70312,0,intermediate,beginner,U2,B,O,G,W,W,G,R,W,Y,G,B,B,B,G,B,Y,G,G,W,R,R,W,R,R,R,R,Y,B,R,W,O,O,O,O,O,W,B,Y,O,Y,Y,G,R,Y,G,W,B,Y,W,B,Y,O,G,O
11.073276,-35.60231,0,intermediate,beginner,R2,B,O,O,W,W,G,R,W,G,G,B,Y,B,G,Y,Y,G,O,Y,R,R,R,R,W,R,R,W,B,R,W,O,O,O,O,O,W,B,Y,G,Y,Y,G,R,Y,Y,W,B,B,W,B,B,O,G,G
5.7631445,-24.395027,0,intermediate,beginner,Bi,B,R,W,W,W,G,R,W,G,G,B,Y,B,G,Y,Y,G,O,B,O,O,R,R,W,R,R,W,Y,Y,R,O,O,O,O,O,W,B,Y,G,Y,Y,G,R,R,Y,B,B,G,B,B,G,W,W,O
5.635294,-24.223701,0,intermediate,beginner,Ri,B,R,G,W,W,G,R,W,O,G,B,W,B,G,G,Y,G,G,O,W,W,O,R,R,B,R,R,Y,Y,R,O,O,O,O,O,W,B,Y,Y,Y,Y,Y,R,R,O,B,B,G,B,B,G,W,W,Y
-22.901106,-21.96665,0,intermediate,beginner,B,O,W,W,W,W,G,R,W,O,G,B,W,B,G,G,Y,G,G,O,R,R,O,R,R,B,R,R,B,R,G,O,O,O,O,O,W,B,Y,Y,Y,Y,Y,R,Y,Y,W,B,B,W,B,B,Y,G,G
-24.073206,-21.142561,0,intermediate,beginner,Ui,W,G,O,W,W,W,O,W,R,G,O,W,B,G,G,Y,G,G,W,R,R,B,R,R,G,R,R,B,R,G,O,O,G,O,O,Y,B,Y,Y,Y,Y,Y,R,Y,Y,W,B,B,W,B,B,O,O,B
-24.676113,-22.455154,0,intermediate,beginner,Li,G,G,O,B,W,W,Y,W,R,B,O,W,Y,G,G,R,G,G,W,R,R,B,R,R,G,R,R,G,G,Y,R,O,O,B,O,O,W,Y,Y,W,Y,Y,O,Y,Y,W,B,B,W,B,B,O,O,B
-23.854078,-22.564785,0,intermediate,beginner,U,Y,B,G,W,W,G,R,W,O,G,B,W,Y,G,G,R,G,G,O,R,R,O,R,R,B,R,R,G,G,B,R,O,O,B,O,W,W,Y,Y,W,Y,Y,O,Y,Y,W,B,B,W,B,B,O,O,Y
-23.2226,-22.000187,0,intermediate,beginner,L,W,B,G,W,W,G,O,W,O,Y,B,W,W,G,G,R,G,G,O,R,R,O,R,R,B,R,R,B,R,G,O,O,G,W,O,B,G,Y,Y,Y,Y,Y,R,Y,Y,W,B,B,W,B,B,O,O,Y
-22.462843,-22.9383,0,intermediate,beginner,U,O,W,W,W,W,B,O,G,G,B,O,O,W,G,G,R,G,G,O,R,R,O,R,R,Y,R,R,B,R,Y,O,O,B,W,O,W,G,Y,Y,Y,Y,Y,R,Y,Y,W,B,B,W,B,B,B,G,G
-22.97356,-23.84217,0,intermediate,beginner,Li,B,W,W,W,W,B,R,G,G,G,O,O,Y,G,G,R,G,G,O,R,R,O,R,R,Y,R,R,Y,B,W,R,O,O,B,O,W,W,Y,Y,W,Y,Y,B,Y,Y,O,B,B,W,B,B,O,G,G
-23.313917,-24.293858,0,intermediate,beginner,U,R,W,B,G,W,W,G,B,W,Y,O,O,Y,G,G,R,G,G,O,R,R,G,R,R,G,R,R,Y,B,G,R,O,O,B,O,O,W,Y,Y,W,Y,Y,B,Y,Y,O,B,B,W,B,B,W,O,W
-20.845528,-36.992702,0,intermediate,beginner,L2,W,W,B,W,W,W,B,B,W,O,O,O,W,G,G,W,G,G,O,R,R,G,R,R,G,R,R,O,O,B,O,O,R,G,B,Y,R,Y,Y,G,Y,Y,G,Y,Y,Y,B,B,Y,B,B,R,O,W
-18.092901,-35.377342,0,intermediate,beginner,U,B,W,W,B,W,W,W,W,B,G,G,O,W,G,G,W,G,G,R,R,R,O,R,R,W,R,R,O,O,O,O,O,O,G,B,O,R,Y,Y,G,Y,Y,G,Y,Y,Y,B,B,Y,B,B,Y,R,B
-20.46046,-6.4229336,0,checkpoint,beginner,Li,G,W,W,W,W,W,W,W,B,R,G,O,G,G,G,G,G,G,R,R,R,O,R,R,W,R,R,O,O,O,O,O,B,O,O,G,Y,Y,Y,Y,Y,Y,Y,Y,Y,B,B,B,B,B,B,W,R,B
